episode,reward,victims_rescued,coverage_ratio,steps,total_loss,actor_loss,critic_loss,entropy
0,41.56563400597749,1,0.13333334,214,2480.670324697687,3.6611749692383455e-05,2480.6702880859375,1.3852441906929016
1,152.11554103521075,5,0.21777777,211,2134.189205876155,0.0007903488112788182,2134.1884155273438,1.3825002014636993
2,230.24400145846255,5,0.29333332,206,2382.213151641451,-0.0005324405801729881,2382.2136840820312,1.3756893575191498
3,193.25666934957542,3,0.31555554,209,2295.6554637345253,0.001105824369005859,2295.6543579101562,1.3629729449748993
4,104.61030739963576,3,0.19111112,210,1484.5523129268659,0.001989440537727205,1484.5503234863281,1.3452460169792175
5,134.55952106477727,4,0.23111111,212,890.0051381684334,0.001155624488092144,890.0039825439453,1.322188377380371
6,76.99248528472424,3,0.16444445,213,1215.5742825624766,0.004946624976582825,1215.5693359375,1.298736184835434
7,183.85019043391546,3,0.24444444,203,890.8105337620946,0.003725290414877236,890.8068084716797,1.2841852009296417
8,128.99768429423992,2,0.20444444,205,963.3018407159252,0.003912859479896724,963.2979278564453,1.2882793545722961
9,160.67013030892042,3,0.27555555,210,848.2403240656713,0.008100554929114878,848.2322235107422,1.2995927333831787
10,228.23213603298638,6,0.28444445,206,741.4654362131841,0.011960261035710573,741.4534759521484,1.3069014847278595
11,216.86338855637914,3,0.2888889,201,842.7569471010938,0.005680621601641178,842.7512664794922,1.310632586479187
12,160.10865082657546,3,0.22666667,207,953.9473225274123,0.019527117256075144,953.9277954101562,1.3089662492275238
13,221.3519933829084,5,0.2888889,209,940.1355929123238,0.022525285370647907,940.1130676269531,1.306995153427124
14,51.20089082542089,1,0.13777778,212,711.620530874934,0.02270677825435996,711.5978240966797,1.2986003160476685
15,239.9360778809524,5,0.2711111,201,880.0694095324725,0.023221177980303764,880.0461883544922,1.286154568195343
16,194.88649891587255,2,0.2711111,200,1350.1654656701721,0.0290826135315001,1350.1363830566406,1.27323979139328
17,133.54604429562502,3,0.20888889,207,665.9204093404114,0.04351725056767464,665.8768920898438,1.2638196349143982
18,138.43314871435288,3,0.24,211,933.5745713934302,0.0357072576880455,933.5388641357422,1.2562167346477509
19,215.17993829252947,4,0.2711111,203,875.7364793922752,0.039152732118964195,875.6973266601562,1.2510210275650024
20,75.6282620052436,2,0.18666667,216,707.3743252363056,0.060848673805594444,707.3134765625,1.240280956029892
21,190.3295671755013,4,0.26666668,206,789.3557159006596,0.05169978737831116,789.3040161132812,1.2385803163051605
22,-9.546210287356432,1,0.16,222,852.2034524846822,0.05377902276813984,852.1496734619141,1.2423438131809235
23,110.31672899491024,3,0.18666667,210,749.8798842439428,0.051805020309984684,749.8280792236328,1.2474979758262634
24,218.95730225509297,4,0.31555554,205,688.3765344480053,0.05364321265369654,688.3228912353516,1.2560283839702606
25,108.09361998776504,2,0.15555556,207,713.9401794523001,0.047265633940696716,713.8929138183594,1.2694533467292786
26,173.73090419308588,4,0.22666667,207,836.6061306302436,0.03397181676700711,836.5721588134766,1.2856583297252655
27,199.35699777685699,3,0.29777777,205,1405.6662931032479,0.030489880591630936,1405.6358032226562,1.2973693311214447
28,98.6472187106467,2,0.19555555,208,811.8987078362843,0.011165111674927175,811.8875427246094,1.3054358661174774
