episode,reward,victims_rescued,coverage_ratio
0,-61.873196426518824,1,0.08444444
1,-55.197741249961545,2,0.10666667
2,-70.09623186545072,1,0.08888889
3,-66.50778135133248,2,0.12444445
4,-46.48826096277311,3,0.093333334
5,-77.61132037660923,1,0.08
6,-54.40550234953091,3,0.13333334
7,-68.3788112875387,2,0.06666667
8,-78.31239725557695,1,0.093333334
9,-60.97110633266717,2,0.10222222
10,-39.876455582921295,4,0.093333334
11,-60.897970885254814,2,0.12444445
12,-29.91477970190975,4,0.14666666
13,-68.00360780455308,2,0.08444444
14,-85.07418094546767,1,0.09777778
15,-57.195177318209026,2,0.12888889
16,-65.02718687044695,1,0.08444444
17,-62.73741496685198,3,0.09777778
18,-62.198560954479056,2,0.12
19,-68.9172874859983,2,0.06666667
20,-44.362363801898226,3,0.10222222
21,-47.75557926333239,3,0.15555556
22,-57.2216199314755,3,0.062222224
23,-58.316701308575425,3,0.08444444
24,-64.86147070090942,2,0.07111111
25,-67.28319613449732,1,0.08888889
26,-82.89666324371063,2,0.057777777
27,-43.50550368244188,3,0.10222222
28,-74.24494386698063,1,0.10222222
29,-60.45020420624221,3,0.10222222
30,-87.80134991650773,2,0.075555556
31,-43.47110810577711,3,0.09777778
32,-67.98990425367258,2,0.10222222
33,-96.18556565898761,1,0.062222224
34,-88.13648338232231,2,0.057777777
35,-43.29018802824838,4,0.12888889
36,-32.18195867979526,4,0.13333334
37,-56.90292618544986,2,0.08444444
38,-62.12953901698308,2,0.093333334
39,-37.555359689447336,4,0.10666667
40,-50.5554088740349,3,0.13333334
41,-60.97902220777323,3,0.10222222
42,-65.65090886235582,2,0.062222224
43,-67.28792657283876,2,0.04888889
44,-62.94024463417338,2,0.115555555
45,-94.07719450133372,1,0.04888889
46,-78.49746180806126,1,0.115555555
47,-55.13016169117894,2,0.10222222
48,-89.44636137266558,1,0.08888889
49,-71.04514633466319,1,0.08444444
50,-69.97155748245655,1,0.15111111
51,-46.65290025332195,3,0.11111111
52,-46.91955577696673,4,0.10666667
53,-63.77705217613881,2,0.075555556
54,-71.46063112496849,1,0.10666667
55,-60.881156704607086,2,0.12888889
56,-55.41717965025182,2,0.115555555
57,-51.40496084137417,2,0.13777778
58,-60.2200099256169,2,0.093333334
59,-46.0799821523475,3,0.12444445
60,-73.05118429157477,2,0.062222224
61,-24.69392922323245,5,0.11111111
62,-56.22881649236101,2,0.08
63,-57.99274323721708,2,0.09777778
64,-66.28339706657978,3,0.075555556
65,-38.60320141465954,4,0.14666666
66,-37.617591519019534,4,0.08444444
67,-49.510300384579054,3,0.11111111
68,-72.4300836452635,2,0.08888889
69,-29.397791466580138,5,0.12
70,-43.07054052025455,3,0.08444444
71,-50.981725960702484,3,0.12888889
72,-54.950357477357564,3,0.09777778
73,-70.33983052299672,1,0.08888889
74,-35.939063185186114,4,0.13777778
75,-77.58489589887239,3,0.062222224
76,-59.76095387465825,3,0.093333334
77,-75.81617573816615,2,0.11111111
78,-52.2922377132664,3,0.093333334
79,-47.06577248823088,3,0.14222223
80,-48.61715510373383,3,0.14222223
81,-28.274640215457893,5,0.11111111
82,-59.25142604237003,2,0.08
83,-61.07178776629559,2,0.093333334
84,-58.57282231003328,3,0.12888889
85,-59.16087277682579,4,0.13333334
86,-79.85678922778906,1,0.08
87,-62.90377713762952,2,0.10222222
88,-57.93638811385352,2,0.09777778
89,-60.26475254274491,2,0.09777778
90,-57.116116324751246,2,0.12444445
91,-31.974748207104884,4,0.15555556
92,-35.980377202866045,4,0.093333334
93,-55.68209188854007,2,0.10666667
94,-79.7726944130805,1,0.06666667
95,-54.390349764196415,2,0.115555555
96,-51.067712061111415,3,0.13333334
97,-50.09989370969124,3,0.115555555
98,-49.27636191279779,3,0.12888889
99,-70.91774240733736,3,0.06666667
100,-62.529247638313414,2,0.08
101,-53.681466949588156,2,0.10222222
102,-33.67360652427295,4,0.12444445
103,-45.436210132866506,3,0.15555556
104,-48.32161644398072,3,0.12
105,-42.89637151129954,3,0.12888889
106,-65.6714599077501,2,0.08444444
107,-56.67661860857245,3,0.12444445
108,-56.53192520671625,2,0.12
109,-35.15568063950906,4,0.11111111
110,-43.11593837571324,3,0.10222222
111,-45.201237609048434,3,0.13777778
112,-59.57069355134376,2,0.13777778
113,-70.92432954137315,2,0.08
114,-42.763795451809436,4,0.15111111
115,-79.56667836027307,1,0.09777778
116,-47.62504308085011,4,0.115555555
117,-83.86135027795267,1,0.08888889
118,-89.79248629638239,2,0.08
