episode,reward,victims_rescued,coverage_ratio,steps,total_loss,actor_loss,critic_loss,entropy
0,24.06418061789861,3,0.10222222,150,146.26783204593352,0.03157584805433687,146.2362561978792,1.2958498965752752
1,42.06169323754021,6,0.19111112,150,132.9546865456321,0.05384141953024817,132.90084512610184,1.2824673691862507
2,40.423666762960586,6,0.16888888,150,169.35061472263433,0.05735249191179479,169.29326223072252,1.264722733905441
3,0.15991968232964027,3,0.06666667,150,207.58561888342038,0.04066478426715261,207.54495409915322,1.2007742602574198
4,17.680110406880466,4,0.115555555,150,170.27029714614497,0.05131173916896315,170.218985406976,1.1316424921939248
5,38.147342925123695,6,0.16,150,173.51337307462418,0.04249191368733974,173.47088116093687,1.0392927543113106
6,39.41915969374981,4,0.12888889,150,212.49668532123445,0.04198695938593071,212.45469836184853,0.9487305205119284
7,48.33890006292432,6,0.20444444,150,147.37755453497735,0.026953137914748175,147.3506013970626,0.9220841189748362
8,50.272135934589194,4,0.18222222,150,161.7065611404281,0.04813565873222327,161.65842548169587,0.8293388309447389
9,32.371779596623405,5,0.14666666,150,172.83150873107738,0.04205045623606757,172.7894582748413,0.7708136415795276
10,18.904355851963775,4,0.16444445,150,146.74699723659893,0.06338852897016822,146.68360870762876,0.7994339438645464
11,38.644688234892214,8,0.24,150,123.24087813719004,0.026484019533534974,123.21439411765651,0.7229811709962393
12,24.262923077772722,4,0.12888889,150,122.32247492407546,0.04143849692895616,122.2810364271465,0.6942059005561628
13,40.13443442429113,7,0.22222222,150,97.64625622192398,0.07526736606010481,97.57098885586387,0.7467354418415773
14,22.032612776442033,3,0.08444444,150,65.09703510061004,0.01978898678269041,65.07724611382736,0.7656955201374857
15,31.87581193150875,6,0.14222223,150,120.13293079223705,0.021147714394732918,120.1117830778423,0.757182352244854
16,38.23735974057008,4,0.16,150,153.40904110010197,0.025282153633031015,153.38375894646896,0.78573619142959
17,44.96029008621996,6,0.20444444,150,93.5647848446633,0.07346809950755223,93.49131674515574,0.8696309975103328
18,44.09087945790403,6,0.19111112,150,97.78425451917697,0.0772363445537753,97.70701817462319,0.889803619761216
19,31.896968208377203,7,0.20888889,150,114.32948808049734,0.09723033786653296,114.23225774263081,0.9617129281947487
20,31.87014998001939,3,0.093333334,150,123.27270284844685,0.05345156711011537,123.21925128133674,1.0008072813874798
21,51.96170746768371,4,0.16444445,150,137.42615368598337,0.06620577868613366,137.35994790729723,1.0400818853001845
22,30.264229466125016,3,0.062222224,150,186.84392393593726,0.0857956408636292,186.75812829507365,1.064567557863287
23,13.409970288302674,7,0.15555556,150,156.58214238173161,0.09095957762393583,156.49118280410767,0.9841669748226801
24,37.59572846965054,4,0.18222222,150,149.38210894837118,0.055094025275473926,149.3270149230957,1.0233952940294617
25,42.948613921899295,5,0.18222222,150,211.76611707964298,0.0999690444931682,211.66614803514983,1.018924817442894
26,40.039602638391614,5,0.14222223,150,153.0574684844009,0.12389395846740196,152.93357452593352,1.0696068900196176
27,17.5054547643347,6,0.15555556,150,95.42373601201996,0.13245968257787785,95.29127632944207,1.002191527501533
28,41.20493792713705,3,0.075555556,150,64.38256055970162,0.1715873471081355,64.21097321259349,1.0237033269123028
29,15.474144573158515,6,0.14666666,150,51.627040873943386,0.16359799622411006,51.463442877719274,1.0218385763858493
30,20.191709289799608,6,0.16,150,53.49774936014345,0.1731196518031586,53.3246297083403,1.0192687095780122
31,-6.764364887256441,5,0.12888889,150,50.328240029109445,0.17989789654108646,50.14834213256836,1.0094840691277855
32,41.65283724254145,4,0.15111111,150,53.76592390811512,0.16480543134783052,53.60111847676729,1.0513647520228435
33,34.78309537251681,5,0.13333334,150,31.302053572407825,0.15357458757506193,31.148478984832764,1.0450288151439868
34,59.06511778146745,8,0.24444444,150,51.614701532329875,0.1598301915280325,51.454871340801844,0.9810122043678635
35,50.28506258772143,7,0.22222222,150,66.68313110337017,0.1933528607570272,66.48977824261314,1.034170452701418
36,37.17755717933051,5,0.18666667,150,37.49223950456852,0.14398952956482963,37.3482499750037,1.0281247657380606
37,48.45756851112422,3,0.16,150,55.06499535899217,0.192681144285751,54.87231421470642,1.020563047967459
38,44.17732414491677,4,0.15555556,150,52.01088662930813,0.12276802344345733,51.888118605864676,0.988962918127838
39,32.72732242667949,6,0.13777778,150,62.38779683037367,0.1320810461000196,62.25571578427365,1.0190399096984613
40,58.76250446655453,5,0.16888888,150,67.04772645152958,0.12148997262365331,66.92623647890593,1.0216981878406124
